Num,ID,CODIGO_ID,ANO,DESAGREGAÇÃO,ESPVIDA,FECTOT,MORT1,MORT5,SOBRE40,SOBRE60,RAZDEP,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_FBBAS,T_FBBAS_tudo,T_FBFUND,T_FBFUND_tudo,T_FBMED,T_FBMED_tudo,T_FBSUPER,T_FLBAS,T_FLBAS_tudo,T_FLFUND,T_FLFUND_tudo,T_FLMED,T_FLMED_tudo,T_FLSUPER,T_FREQ0A5,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ5A6,T_FREQ6A14,T_FREQ6A17,T_FREQFUND1517,T_FREQFUND1824,T_FREQMED1824,T_FUND11A13,T_FUND11A13_tudo,T_FUND15A17,T_FUND18A24,T_FUND18M,T_FUND25M,T_MED18A20,T_MED18A24,T_MED18M,T_MED25M,T_SUPER25M,CORTE1,CORTE2,CORTE3,CORTE4,CORTE9,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,PREN10RICOS,PREN20,PREN20RICOS,PREN40,PREN60,PREN80,PRENTRAB,R1040,R2040,RDPC,RDPC1,RDPC10,RDPC2,RDPC3,RDPC4,RDPC5,RDPCT,RIND,RMPOB,RPOB,THEIL,P_AGRO,P_COM,P_CONSTR,P_EXTR,P_SERV,P_SIUP,P_TRANSF,P_CPR,P_EMP,P_FORMAL,P_TRABCC,P_TRABPUB,P_TRABSC,P_FUND,P_MED,P_SUPER,P_REN0,P_REN1,P_REN2,P_REN3,P_REN5,RENOCUP,THEILtrab,T_ATIV1014,T_ATIV1517,T_ATIV1824,T_ATIV18M,T_ATIV2529,T_DES1014,T_DES1517,T_DES1824,T_DES18M,T_DES2529,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,T_AGUA_ESGOTO,T_PAREDE,T_CRIFUNDIN_TODOS,T_FORA0A5,T_FORA6A14,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_OCUPDESLOC_1,T_RMAXIDOSO,T_SLUZ,T_VULNERA_NESTUDA_NTRAB_MMEIO,T_VULNERA_RMAXIDOSO,T_VULNERA_OCUPDESLOC_13,PEA1014,PEA1517,PEA18M,PESO1,PESO1114,PESO1113,PESO1214,PESO13,PESO15,PESO1517,PESO1524,PESO1618,PESO18,PESO1820,PESO1824,PESO1921,PESO25,PESO4,PESO5,PESO6,PESO610,PESO617,PESO65,PESORUR,PESOTOT,PESOURB,PESO80,PESO0a4,PESO5A9,PESO10a14,PESO15A19,PESO20A24,PESO25A29,PESO30A34,PESO35A39,PESO40A44,PESO45A49,PESO50A54,PESO55A59,PESO60A64,PESO65A69,PESO70A74,PESO75A79,PIA,PIA1014,PIA1517,PIA18M,POP,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R,IDHM_R_ajustado,IDHM_ajustado
1,2000000001,Brasil,2000,MULHER,"71,73","2,37","28,85","34,9","92,35","82,13","54,22","6,44","9,13","3,43","2,72","12,91","4,22","13,88",6,"16,42","24,98","19,41","103,16","111,03","113,64","120,58","73,59","84,09","14,58","86,08","89,08","90,45","92,65","36,73","38,66","8,31","24,1","77,45","31,3","12,03","72,12","93,49","89,29","34,86","6,87","12,1","63,17","77,53","44,69","58,13","41,09","36,61","29,06","33,21","26,28","24,45",7,"98,26","196,45","346,17","703,53","1269,08","0,63","12,34","20,32","27,69","41,08","48,16","63,13","51,5","1,88","67,24","6,96","16,06","32,76","68,98","29,6","19,33","590,66","55,49","3041,95","150,05","268,77","493,16","1986,9","604,09","35,44","72,76","123,17","0,76","10,08","14,46","0,69","0,07","61,83","0,22","11,4","17,2720426387","2,1038795117","52,42","38,7239447169","8,4242002719","25,6884423372","55,09","39,64","10,83","7,89","52,81","78,78","85,2","93,02","939,1","0,57","6,6","31,78","57,87","50,7","62,15","36,55","43,45","30,14","18,45","20,37","81,31","77,66","38,7","91,43","93,95","8,56",,"49,96","75,9","6,51","40,15","28,78","52,4",,"8,14","6,05","42,14","59,39",,561536,1669270,28079777,1565725,6915912,5150179,5222797,4822572,61463951,5323517,17013982,5429056,56140434,5353241,11690465,5133240,44449969,1648836,1692748,1635308,8101742,20341171,5554525,15152189,86223155,71070966,1100755,8048802,8139974,8570428,8920685,8093297,7035337,6664961,6305654,5430255,4505123,3646923,2859471,2447720,1941781,1512973,999016,69142178,8504130,5252379,55385669,85211053,"0,411","0,523","0,638","0,483","0,779","0,691","0,563","0,596"
1,2000000001,Brasil,2000,HOMEM,"64,74",,"31,96","38,66","87,59","72,16","55,67","5,24","8,45","6,59","5,32","12,96","7,17","13,74","9,08","15,62","31,53","24,7","100,96","108,44","115,21","122,08","60,14","69,36","11,33","85,35","88,56","89,9","92,16","28,73","30,37","6,44","23,49","77,39","31,21","10,46","70,84","92,75","88,78","42,1","8,65","11,47","55,17","70,76","34,81","49,21","38,33","35,23","20,62","24,65","22,96","22,48","6,53","492,9","826,38","1507,66","2576,76","117,78","0,64","12,88","20,39","28,28","41,11","48,71","63,15","46,54","2,95","62,42","9,35","19,75","37,58","82,15","19,92","13,36","593,45","87,42","2762,17","189,91","308,65","529,05","1852,15","608,32","34,88","71,89","122,21","0,77","21,83","14,41","11,13","0,54","35,2","0,71","14,86","28,8422404917","3,6910126061","51,16","37,588414057","4,4621013529","20,4045251371","41,25","25,51","6,24","5,1","38,54","68,67","77,94","88,69","1422,3","0,67","11,89","48,16","82,91","81,67","92,71","26,36","31,01","18,85","10,75","10,19","79,61","75,76","39,58","90,79","92,94","9,27",,"50,06","76,51","7,25","42,41","30,09","44,96",,"7,58","7,06","20,41","58,5",,1037044,2578881,42428092,1625584,7064955,5269857,5324261,4984334,58069097,5378982,17067348,5503056,52690115,5392921,11688366,5130232,41001749,1706676,1752832,1684797,8362205,20806142,4380575,16693022,83576015,66882993,731350,8326926,8402353,8777639,9019130,8048218,6814328,6363983,5955875,5116439,4216418,3415678,2585244,2153209,1639325,1229329,780571,66026890,8720554,5355066,51951271,82627512,"0,383","0,454","0,581","0,429","0,662","0,692","0,77","0,602"
1,2010000001,Brasil,2010,MULHER,"77,31","1,89","15,76","17,77","96,37","88,92","45,7","8,18","9,54","1,88","1,23","9,13","1,61","9,71","2,77","11,39","16,08","13,07","114,66","114,66","117,66","117,66","106,27","106,27","34,24","92,37","92,37","93,9","93,9","53,58","53,58","16,02","43,15","83,41","31,93","15,71","91,4","96,92","93,36","26,56","4,04","10,78","90,25","87,85","63,5","78,56","56,67","52,15","46,74","52,88","40,12","37,49","12,48",170,323,510,"929,75","1533,5","0,59","6,5","11,43","15,1","26,02","32,66","49,46","48,49","2,46","63,06","8,69","19,43","36,94","66,97","22,33","14,6","786,21","96,56","3812,13","244,93","422,17","688,62","2493,56","792,22","32,42","75,93","143,79","0,67","9,21","16,48","0,62","0,13","57,37","0,5","9,87","17,4613435116","1,5658882492","58,47","45,2450514669","7,3780119342","22,5602009878","68,63","52,25","17,32","6,71","26,81","76,11","85,39","92,54","1059,3","0,47","6,38","25,3","60,21","56,06","69,21","19,66","29,95","19,64","9,89","12,09","89,83","87,83","27,49","97,16","98,75","5,78","3,2","30,26","56,85","3,08","24,14","13,14","37,4","1,06","8,33","1,25","41,18","69,35","9,49",538867,1297694,39051535,1325484,6729278,5002735,5085725,2696971,74783059,5134398,17046967,5029752,69648661,4989254,11912569,5029611,57736092,1407674,1438735,1421784,7618566,19482242,7966401,14133184,97348809,83215625,1802462,6779171,7345231,8441348,8432004,8614963,8643419,8026854,7121915,6688796,6141338,5305407,4373877,3468085,2616745,2074264,1472930,83223618,8440040,5129102,69654476,96795348,"0,567","0,73","0,756","0,671","0,872","0,737","0,637","0,72"
1,2010000001,Brasil,2010,HOMEM,"69,77",,"17,46","19,69","91,41","78,13","46,12","6,55","9,26","3,73","2,53","9,75","3,18","10,34","4,93","11,96","22,72","18,02","111,9","111,9","120,09","120,09","88,6","88,6","25,41","92,12","92,12","94,07","94,07","43,76","43,76","11,89","43,15","83,22","29,36","12,87","90,85","96,47","93,02","36,72","5,24","11,11","85,49","83,22","51,09","69,94","53,04","49,21","35,32","42,08","35,5","34,01","9,95",170,325,510,"932,5","1533,33","0,6","6,75","11,51","15,31","25,99","32,46","49,37","49,28","2,37","63,74","8,51","19,05","36,26","78,92","23,17","15,04","801,88","94,87","3951,6","246,21","422,89","690,03","2565,7","809,87","30,9","74,42","141,59","0,69","16,74","14,56","12,39","0,73","34,65","1,25","13,44","24,8706293044","2,4001566432","59,94","47,3809578453","4,3026868846","16,9551077846","57,61","39,5","10,14","4,74","18,3","64,73","78,94","88,83","1470,73","0,52","8,64","34,17","75,86","77,79","87,45","15,62","20,01","11,46","5,27","6,09","88,67","86,46","28,19","96,88","98,4","6,48","3,64","30,52","56,85","3,53","25,74","13,8","32,91","1,67","7,82","1,6","25,09","68,78","10,77",754332,1785293,50413321,1369425,6932267,5165099,5222976,4175863,52779988,5223476,17189097,5120365,47556512,5033473,11965621,5047680,52851349,1462592,1493253,1472635,7924037,20079780,6115076,15696811,93406990,77710179,1133122,7016987,7624144,8725413,8558868,8630229,8460995,7717658,6766664,6320568,5692014,4834995,3902344,3041035,2224065,1667372,1090517,78757681,8727095,5224763,64805823,92671977,"0,53","0,657","0,696","0,612","0,746","0,74","0,814","0,719"
