cod;nome;período;valor
26;PE;2003;6.981063399
22;PI;2003;2.082333741
33;RJ;2003;8.524671692
24;RN;2003;1.638350509
43;RS;2003;3.166552395
11;RO;2003;9.0249618
14;RR;2003;4.489176595
42;SC;2003;2.731755289
35;SP;2003;6.973984455
17;TO;2003;3.675596203
27;AL;2004;4.376075785
16;AP;2004;6.311139161
13;AM;2004;2.949036316
29;BA;2004;2.8148199
17;TO;2004;2.961452466
28;SE;2004;2.228511577
35;SP;2004;5.043346234
42;SC;2004;2.361737159
14;RR;2004;2.096392109
11;RO;2004;2.800921288
23;CE;2004;1.627282124
53;DF;2004;6.515891957
32;ES;2004;7.114128143
52;GO;2004;4.028623369
21;MA;2004;1.892220822
51;MT;2004;7.367242294
50;MS;2004;5.198513918
31;MG;2004;4.656955497
15;PA;2004;2.888672801
25;PB;2004;4.239413193
41;PR;2004;3.361041431
26;PE;2004;7.533127477
22;PI;2004;1.208366384
33;RJ;2004;7.379177724
24;RN;2004;1.353491331
43;RS;2004;3.928887143
12;AC;2004;2.751648041
25;PB;2005;3.857660886
15;PA;2005;3.696486947
31;MG;2005;4.105479847
50;MS;2005;5.615158755
51;MT;2005;5.955286309
35;SP;2005;4.133443453
41;PR;2005;3.873377733
21;MA;2005;2.118847451
23;CE;2005;1.670293058
12;AC;2005;3.247715435
17;TO;2005;3.18896533
28;SE;2005;3.12483133
42;SC;2005;1.727976223
14;RR;2005;6.254256369
11;RO;2005;6.148498537
43;RS;2005;2.577624578
24;RN;2005;2.746844689
33;RJ;2005;7.488571699
27;AL;2005;4.48521002
13;AM;2005;3.164584502
16;AP;2005;5.623421116
29;BA;2005;2.940157223
53;DF;2005;4.744838876
32;ES;2005;8.577277458
52;GO;2005;5.213977228
22;PI;2005;2.447825445
26;PE;2005;8.337136076
13;AM;2006;2.664461892
22;PI;2006;2.398519086
51;MT;2006;4.69275316
50;MS;2006;4.344976664
31;MG;2006;4.494913382
26;PE;2006;9.299140524
25;PB;2006;4.297314529
12;AC;2006;3.331917268
27;AL;2006;6.625062612
16;AP;2006;4.334182833
21;MA;2006;2.473013243
15;PA;2006;4.290576766
17;TO;2006;3.550947215
35;SP;2006;3.853547366
28;SE;2006;3.179388315
42;SC;2006;4.217973629
14;RR;2006;1.942451633
11;RO;2006;6.540870949
43;RS;2006;3.111171491
24;RN;2006;2.694704905
33;RJ;2006;7.319273566
41;PR;2006;3.652934676
52;GO;2006;5.719486227
32;ES;2006;10.30106101
53;DF;2006;5.479567536
23;CE;2006;2.357823258
29;BA;2006;3.455813564
51;MT;2007;6.262031217
28;SE;2007;2.826219783
33;RJ;2007;6.050354072
41;PR;2007;2.783612804
26;PE;2007;8.96031695
25;PB;2007;4.587844714
15;PA;2007;4.089403115
50;MS;2007;4.948508997
42;SC;2007;1.567815876
21;MA;2007;2.111567632
12;AC;2007;3.697844978
27;AL;2007;6.191679839
16;AP;2007;3.619500057
13;AM;2007;3.44002752
29;BA;2007;3.661826923
23;CE;2007;3.035579156
53;DF;2007;5.693574593
32;ES;2007;11.28888949
52;GO;2007;4.84184583
31;MG;2007;4.716705716
43;RS;2007;3.105443736
24;RN;2007;2.565086505
22;PI;2007;2.027857695
35;SP;2007;2.826188347
17;TO;2007;5.135203996
11;RO;2007;3.915863751
14;RR;2007;6.265899721
23;CE;2008;2.621163272
53;DF;2008;7.576039512
22;PI;2008;2.596980466
26;PE;2008;8.908339369
25;PB;2008;6.526865782
15;PA;2008;4.868182574
31;MG;2008;4.098204096
50;MS;2008;3.681213596
51;MT;2008;6.713757195
21;MA;2008;2.837595515
35;SP;2008;2.807103467
17;TO;2008;3.269387951
27;AL;2008;6.413192026
28;SE;2008;2.911454355
52;GO;2008;6.053508357
12;AC;2008;1.920056526
33;RJ;2008;5.964928893
41;PR;2008;3.856753175
16;AP;2008;5.103382758
13;AM;2008;4.270887117
32;ES;2008;12.38861055
29;BA;2008;4.487056137
42;SC;2008;2.10598917
14;RR;2008;3.136723504
11;RO;2008;4.07226644
43;RS;2008;3.146893033
24;RN;2008;4.771637387
32;ES;2009;14.52480014
35;SP;2009;3.229202776
17;TO;2009;4.470715839
28;SE;2009;2.810872455
42;SC;2009;1.96699868
16;AP;2009;4.206364229
14;RR;2009;7.525067882
11;RO;2009;6.579837873
43;RS;2009;3.587744266
24;RN;2009;3.697555527
33;RJ;2009;5.196476023
41;PR;2009;3.969923304
22;PI;2009;1.788343092
26;PE;2009;8.917087014
25;PB;2009;6.902059772
15;PA;2009;5.212830972
31;MG;2009;4.40785013
50;MS;2009;4.153017084
51;MT;2009;6.124387422
21;MA;2009;2.718926324
12;AC;2009;2.36973376
27;AL;2009;8.108217679
13;AM;2009;4.385365451
29;BA;2009;5.030562438
23;CE;2009;2.682134537
53;DF;2009;7.936260122
52;GO;2009;6.458564719
14;RR;2010;5.657530802
28;SE;2010;4.591491202
35;SP;2010;3.055462327
17;TO;2010;5.848985055
22;PI;2010;2.304334247
26;PE;2010;6.8608962
25;PB;2010;8.046489001
15;PA;2010;6.692654777
31;MG;2010;4.676961882
51;MT;2010;5.911106805
21;MA;2010;3.937569243
52;GO;2010;7.134737
32;ES;2010;12.01158931
53;DF;2010;6.480016278
23;CE;2010;3.796691611
29;BA;2010;6.232371108
13;AM;2010;4.410198437
16;AP;2010;5.545323114
27;AL;2010;8.82391995
12;AC;2010;5.01161345
50;MS;2010;6.406927575
24;RN;2010;5.136075796
41;PR;2010;3.409323363
33;RJ;2010;5.040033552
43;RS;2010;3.830465608
11;RO;2010;4.389564288
42;SC;2010;3.641987748
26;PE;2011;7.645744869
29;BA;2011;6.313998691
13;AM;2011;4.878845695
16;AP;2011;5.988136006
32;ES;2011;9.587117863
53;DF;2011;7.875215277
23;CE;2011;3.700475162
42;SC;2011;1.198997638
14;RR;2011;5.671327658
24;RN;2011;5.844010828
12;AC;2011;4.141535079
27;AL;2011;9.716640599
11;RO;2011;6.007612226
43;RS;2011;2.141377844
41;PR;2011;3.53470437
22;PI;2011;2.333306111
35;SP;2011;2.394870535
28;SE;2011;6.089993045
17;TO;2011;7.040050063
33;RJ;2011;5.410780118
52;GO;2011;10.24468473
21;MA;2011;4.250714139
51;MT;2011;6.458418549
50;MS;2011;6.846454564
31;MG;2011;5.150498288
15;PA;2011;5.183145085
25;PB;2011;9.599472275
16;AP;2012;5.177555641
33;RJ;2012;5.085728738
22;PI;2012;3.208177002
41;PR;2012;4.298595624
52;GO;2012;9.053673991
21;MA;2012;3.636449038
51;MT;2012;6.571618452
50;MS;2012;7.165251397
31;MG;2012;5.326410523
15;PA;2012;6.58942899
25;PB;2012;9.149440346
26;PE;2012;6.140002682
