Num,ID,CODIGO_ID,ANO,DESAGREGAÇÃO,ESPVIDA,FECTOT,MORT1,MORT5,SOBRE40,SOBRE60,RAZDEP,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_FBBAS,T_FBBAS_tudo,T_FBFUND,T_FBFUND_tudo,T_FBMED,T_FBMED_tudo,T_FBSUPER,T_FLBAS,T_FLBAS_tudo,T_FLFUND,T_FLFUND_tudo,T_FLMED,T_FLMED_tudo,T_FLSUPER,T_FREQ0A5,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ5A6,T_FREQ6A14,T_FREQ6A17,T_FREQFUND1517,T_FREQFUND1824,T_FREQMED1824,T_FUND11A13,T_FUND11A13_tudo,T_FUND15A17,T_FUND18A24,T_FUND18M,T_FUND25M,T_MED18A20,T_MED18A24,T_MED18M,T_MED25M,T_SUPER25M,CORTE1,CORTE2,CORTE3,CORTE4,CORTE9,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,PREN10RICOS,PREN20,PREN20RICOS,PREN40,PREN60,PREN80,PRENTRAB,R1040,R2040,RDPC,RDPC1,RDPC10,RDPC2,RDPC3,RDPC4,RDPC5,RDPCT,RIND,RMPOB,RPOB,THEIL,P_AGRO,P_COM,P_CONSTR,P_EXTR,P_SERV,P_SIUP,P_TRANSF,P_CPR,P_EMP,P_FORMAL,P_TRABCC,P_TRABPUB,P_TRABSC,P_FUND,P_MED,P_SUPER,P_REN0,P_REN1,P_REN2,P_REN3,P_REN5,RENOCUP,THEILtrab,T_ATIV1014,T_ATIV1517,T_ATIV1824,T_ATIV18M,T_ATIV2529,T_DES1014,T_DES1517,T_DES1824,T_DES18M,T_DES2529,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,T_AGUA_ESGOTO,T_PAREDE,T_CRIFUNDIN_TODOS,T_FORA0A5,T_FORA6A14,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_OCUPDESLOC_1,T_RMAXIDOSO,T_SLUZ,T_VULNERA_NESTUDA_NTRAB_MMEIO,T_VULNERA_RMAXIDOSO,T_VULNERA_OCUPDESLOC_13,PEA1014,PEA1517,PEA18M,PESO1,PESO1114,PESO1113,PESO1214,PESO13,PESO15,PESO1517,PESO1524,PESO1618,PESO18,PESO1820,PESO1824,PESO1921,PESO25,PESO4,PESO5,PESO6,PESO610,PESO617,PESO65,PESORUR,PESOTOT,PESOURB,PESO80,PESO0a4,PESO5A9,PESO10a14,PESO15A19,PESO20A24,PESO25A29,PESO30A34,PESO35A39,PESO40A44,PESO45A49,PESO50A54,PESO55A59,PESO60A64,PESO65A69,PESO70A74,PESO75A79,PIA,PIA1014,PIA1517,PIA18M,POP,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
1,2000000001,Brasil,2000,BRANCO,"71,15","2,05","23,51","28,48","92,43","81,93","53,38","6,71","9,69","2,77","2,33","8,50","3,26","9,05","4,38","10,49","19,69","14,69","101,76","110,18","110,20","117,09","77,83","90,60","19,73","87,38","90,89","91,37","94,01","43,18","45,98","11,68","24,28","79,92","32,44","11,85","74,00","94,65","90,81","30,29","5,20","11,30","70,38","82,84","52,11","63,95","47,28","43,12","34,43","38,47","31,50","29,76","9,98","147,32","289,49","487,81","976,05","1757,13","0,62","7,02","12,20","17,94","28,55","36,11","50,58","50,26","2,04","66,57","7,27","16,40","33,43","77,51","27,66","18,45","806,36","82,19","4052,87","210,88","368,12","686,70","2702,91","816,75","36,32","77,43","135,87","0,73","13,90","15,95","6,08","0,30","47,05","0,55","14,88","24,78","4,39","57,47","40,70","6,26","19,04","55,09","38,78","11,65","4,91","34,53","64,50","73,94","86,20","1593,31","0,66","8,04","39,90","71,81","65,46","78,52","31,35","35,80","21,67","12,22","12,57","89,64","86,80","30,74","95,09","96,70","4,86",,"39,95","75,72","5,35","32,70","20,12","41,59",,"7,64","3,30","32,16","58,94",,679862,2105932,39026343,,,,,,65647169,,,,,,,,48287950,,,,,,6124539,13859610,91298094,77438430,1107398,8838654,8309983,8502250,9005480,8353739,7338739,7065651,6850491,5968636,5009404,4078370,3158031,2694089,2156485,1732342,1128314,73352286,8455195,5278441,59618650,90384542,"0,473","0,577","0,675","0,540","0,769","0,741"
1,2000000001,Brasil,2000,NEGRO,"66,61","2,76","36,88","44,55","88,69","74,11","56,67","4,76","7,84","7,37","5,86","18,56","8,45","19,98","11,25","23,50","37,49","29,94","102,02","109,58","118,38","125,96","55,34","62,86","5,65","83,75","86,99","88,65","91,09","21,96","22,91","2,75","23,01","74,73","30,03","10,59","68,35","91,26","86,97","46,78","10,60","12,25","47,70","65,84","27,03","42,30","30,22","26,54","14,49","18,52","16,11","15,38","2,68","73,20","141,94","234,74","429,28","699,96","0,59","19,16","28,81","39,93","54,31","63,29","76,53","48,89","2,24","60,92","8,62","19,78","39,08","78,78","22,70","15,16","327,29","36,61","1600,11","104,37","182,72","315,84","1068,81","339,10","34,88","69,88","114,13","0,60","22,03","12,35","8,73","0,44","42,82","0,49","11,85","24,00","1,27","43,85","34,58","5,58","26,98","34,76","19,96","2,80","7,72","56,59","83,45","90,03","96,13","747,82","0,48","10,50","40,35","69,11","66,11","75,71","29,04","36,08","25,54","15,89","16,52","69,67","64,82","49,13","85,86","89,77","13,70",,"60,62","76,99","8,74","51,48","40,53","58,09",,"7,97","10,23","30,69","58,84",,892534,2084136,30455200,,,,,,52042656,,,,,,,,35831730,,,,,,3613318,58495220,75872413,17377206,641206,7260237,7988545,8580926,8666095,7544831,6309578,5781202,5235949,4423127,3578593,2854326,2204845,1830792,1356631,991896,623585,59736115,8503763,5164984,46067368,74822575,"0,302","0,394","0,531","0,361","0,694","0,596"
1,2010000001,Brasil,2010,BRANCO,"75,26","1,63","14,10","15,90","95,23","84,82","45,47","8,78","10,13","1,65","1,20","5,76","1,36","6,06","2,03","6,97","14,34","11,53","112,15","112,15","114,72","114,72","104,86","104,86","42,63","93,14","93,14","94,25","94,25","56,88","56,88","20,78","44,02","85,43","34,23","15,84","92,29","97,39","94,27","24,78","3,09","9,35","91,51","88,91","66,86","81,91","62,14","58,32","51,59","57,88","45,72","43,38","16,59","254,93","450,00","699,88","1275,00","2200,25","0,59","3,33","6,33","8,53","16,25","21,34","35,88","48,67","2,67","63,83","8,96","19,15","36,17","73,56","21,74","14,25","1097,00","146,35","5339,58","344,91","559,11","933,38","3500,74","1101,52","32,48","79,77","154,57","0,66","10,87","16,50","5,81","0,44","46,28","0,82","12,99","22,81","3,09","65,13","48,88","6,12","15,55","69,67","53,13","19,07","4,11","15,97","60,66","74,65","85,89","1666,71","0,53","6,70","30,16","70,60","67,36","81,47","16,37","22,56","13,01","5,89","7,11","93,21","91,81","19,59","98,12","99,22","3,76","1,99","22,58","55,98","2,61","19,29","8,02","28,76","0,80","8,35","0,78","32,86","71,25","9,80",480285,1320379,44366656,1338012,5716613,4259415,4305018,3935044,70591164,4390760,15086222,4349125,66200404,4442486,10695462,4522813,55504942,1321111,1326685,1288398,6715998,16823371,7998748,10839117,91051646,80212529,1764573,6701186,6562558,7196738,7311734,7774488,7936115,7344600,6596137,6365363,6052769,5286559,4404057,3520594,2637407,2096086,1500682,77416302,7168453,4378066,65869783,9647826,"0,621","0,756","0,777","0,708","0,838","0,791"
1,2010000001,Brasil,2010,NEGRO,"73,18","2,09","18,29","20,63","93,85","83,58","46,21","6,03","9,13","3,54","2,31","12,91","3,15","13,83","5,33","16,39","23,21","18,52","114,14","114,14","122,07","122,07","91,81","91,81","19,14","91,72","91,72","93,95","93,95","42,61","42,61","8,29","42,54","81,84","27,59","12,88","90,44","96,33","92,53","36,81","5,86","12,27","85,39","83,25","50,21","68,08","47,78","42,92","32,54","38,96","30,09","27,97","5,65","133,30","250,40","393,29","645,88","1000,00","0,54","9,46","15,23","21,14","33,48","42,80","60,09","41,76","2,77","57,74","10,20","22,49","42,26","75,84","16,37","11,32","508,89","70,42","2125,24","189,17","312,58","503,00","1469,08","515,07","31,74","74,05","138,00","0,55","16,21","14,18","9,11","0,52","42,25","1,04","10,87","20,51","0,92","53,42","44,20","5,08","23,29","54,54","36,23","6,89","6,98","27,96","78,94","89,14","95,24","901,87","0,39","8,03","29,48","66,14","65,84","75,52","18,08","25,51","16,89","8,70","10,36","81,74","77,98","34,39","94,43","97,17","10,87","6,12","36,47","57,46","3,67","30,04","18,33","41,59","2,05","7,91","2,83","33,50","67,96","10,56",781653,1715619,43785659,1312963,7741551,5757260,5849807,4143593,72041082,5810023,18615473,5646198,66231059,5423571,12805450,5395955,53425609,1502116,1557889,1559110,8581176,22132750,5837720,18205901,96795294,78589393,1120232,6873596,8167192,9713424,9419309,9196164,8899222,8160473,7091106,6463360,5619943,4717890,3752034,2883861,2119694,1578949,1018845,82065602,9739767,5819528,66506307,10526856,"0,478","0,646","0,679","0,584","0,803","0,667"
