Num,ID,CODIGO_ID,ANO,DESAGREGAÇÃO,ESPVIDA,FECTOT,MORT1,MORT5,SOBRE40,SOBRE60,RAZDEP,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_FBBAS,T_FBBAS_tudo,T_FBFUND,T_FBFUND_tudo,T_FBMED,T_FBMED_tudo,T_FBSUPER,T_FLBAS,T_FLBAS_tudo,T_FLFUND,T_FLFUND_tudo,T_FLMED,T_FLMED_tudo,T_FLSUPER,T_FREQ0A5,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ5A6,T_FREQ6A14,T_FREQ6A17,T_FREQFUND1517,T_FREQFUND1824,T_FREQMED1824,T_FUND11A13,T_FUND11A13_tudo,T_FUND15A17,T_FUND18A24,T_FUND18M,T_FUND25M,T_MED18A20,T_MED18A24,T_MED18M,T_MED25M,T_SUPER25M,CORTE1,CORTE2,CORTE3,CORTE4,CORTE9,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,PREN10RICOS,PREN20,PREN20RICOS,PREN40,PREN60,PREN80,PRENTRAB,R1040,R2040,RDPC,RDPC1,RDPC10,RDPC2,RDPC3,RDPC4,RDPC5,RDPCT,RIND,RMPOB,RPOB,THEIL,P_AGRO,P_COM,P_CONSTR,P_EXTR,P_SERV,P_SIUP,P_TRANSF,P_CPR,P_EMP,P_FORMAL,P_TRABCC,P_TRABPUB,P_TRABSC,P_FUND,P_MED,P_SUPER,P_REN0,P_REN1,P_REN2,P_REN3,P_REN5,RENOCUP,THEILtrab,T_ATIV1014,T_ATIV1517,T_ATIV1824,T_ATIV18M,T_ATIV2529,T_DES1014,T_DES1517,T_DES1824,T_DES18M,T_DES2529,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,T_AGUA_ESGOTO,T_PAREDE,T_CRIFUNDIN_TODOS,T_FORA0A5,T_FORA6A14,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_OCUPDESLOC_1,T_RMAXIDOSO,T_SLUZ,T_VULNERA_NESTUDA_NTRAB_MMEIO,T_VULNERA_RMAXIDOSO,T_VULNERA_OCUPDESLOC_13,PEA1014,PEA1517,PEA18M,PESO1,PESO1114,PESO1113,PESO1214,PESO13,PESO15,PESO1517,PESO1524,PESO1618,PESO18,PESO1820,PESO1824,PESO1921,PESO25,PESO4,PESO5,PESO6,PESO610,PESO617,PESO65,PESORUR,PESOTOT,PESOURB,PESO80,PESO0a4,PESO5A9,PESO10a14,PESO15A19,PESO20A24,PESO25A29,PESO30A34,PESO35A39,PESO40A44,PESO45A49,PESO50A54,PESO55A59,PESO60A64,PESO65A69,PESO70A74,PESO75A79,PIA,PIA1014,PIA1517,PIA18M,POP,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
1,2010000001,Brasil,2010,RURAL,"71,51","2,59","22,06","24,85","92,63","80,04","56,51","7,48","8,49","6,24","4,06","22,84","6,56","24,64","12,05","28,77","29,07","23,97","109,44","109,44","122,63","122,63","70,65","70,65","7,20","90,03","90,03","92,85","92,85","34,37","34,37","3,58","31,95","78,33","24,67","9,56","84,73","95,04","90,80","41,78","8,16","11,53","79,10","77,31","41,90","53,33","26,51","20,38","21,97","24,59","13,14","10,52","1,79","55,60","138,92","250,00","449,80","625,20","0,57","23,09","32,81","40,28","56,53","63,13","79,79","42,73","1,41","59,33","7,74","19,78","40,67","66,55","22,09","15,33","312,74","22,03","1336,49","98,98","188,35","326,65","927,52","328,09","27,50","61,05","110,48","0,62","65,18","4,50","4,03","0,52","16,24","0,37","5,71","31,53","0,56","28,92","20,08","2,31","22,90","29,33","15,42","2,30","25,46","57,05","90,45","95,54","98,12","522,27","0,46","16,01","33,70","58,39","61,21","66,15","5,85","9,09","9,74","4,49","6,17","60,64","54,69","34,60",,"92,14","23,47","12,87","55,85","68,05","4,96","49,71","34,62","64,11","1,76","8,78","7,86","31,22","75,47","6,47",513628,629290,11887748,477233,2548679,1895746,1927697,1490246,19377949,1864757,5490995,1768584,17513192,1613156,3626238,1553026,13886954,537554,550185,545383,2945000,7358436,2232027,,29829995,,442361,2495010,2834090,3209774,2951871,2539124,2331457,2132591,1913172,1821935,1651958,1432063,1250747,1034176,800794,599463,389409,24495505,3207424,1867215,19420867,29511570,"0,265","0,569","0,586","0,441","0,775","0,589"
1,2010000001,Brasil,2010,URBANO,"74,57","1,78","15,44","17,41","94,79","85,05","44,09","104,85","9,79","2,03","1,41","7,12","1,65","7,54","2,54","8,80","17,31","13,68","114,13","114,13","118,03","118,03","103,23","103,23","33,85","92,75","92,75","94,25","94,25","51,76","51,76","15,80","45,63","84,41","31,71","15,06","92,60","97,07","93,74","29,47","4,01","10,84","89,83","87,37","60,61","77,97","59,72","55,81","44,64","51,54","42,07","40,05","12,85","209,00","369,88","570,00","1006,67","1727,67","0,58","3,59","6,61","10,57","19,06","26,93","42,50","48,03","2,90","62,79","9,41","19,99","37,21","74,84","20,42","13,35","882,64","128,13","4239,27","287,10","466,82","759,94","2771,46","884,12","36,60","85,12","156,66","0,63","5,36","17,10","7,93","0,47","48,73","1,02","12,91","20,17","2,28","64,14","50,66","6,13","18,77","67,51","49,58","14,91","2,43","16,34","66,24","79,48","89,18","1418,93","0,49","5,58","28,91","69,77","67,44","80,14","24,85","28,07","15,87","7,71","9,11","94,54","93,15","26,58","97,02","99,77","2,92","1,67","24,60","54,37","2,93","20,35","9,56","30,40","1,36","7,78","0,23","34,29","66,34","11,87",779571,2453697,77577108,2217676,11112866,8272088,8381004,6722402,123532384,8493117,28745069,8381533,115039267,8409571,20251952,8524265,94787315,2332712,2381803,2349036,12597603,32203586,11849450,,11301148,,2493223,11301148,12135285,13956987,14039001,14706068,14772957,13611921,11975407,11187429,10181394,8708339,7025474,5474944,4040016,3142173,2174038,137485793,13959711,8486650,115039431,159955754,"0,597","0,719","0,750","0,676","0,826","0,756"
